place-alfcl,place-davis,route,120
place-alfcl,place-davis,route,180
place-alsgr,place-grigg,route,60
place-alsgr,place-grigg,route,120
place-alsgr,place-wrnst,route,0
place-alsgr,place-wrnst,route,60
place-andrw,place-brdwy,route,120
place-andrw,place-brdwy,route,180
place-andrw,place-jfk,route,120
place-andrw,place-jfk,route,180
place-aport,place-mvbcl,route,120
place-aport,place-wimnl,route,120
place-aport,place-wimnl,route,180
place-aqucl,place-mvbcl,route,120
place-aqucl,place-mvbcl,route,180
place-aqucl,place-state,route,60
place-aqucl,place-state,route,120
place-armnl,place-boyls,route,60
place-armnl,place-boyls,route,120
place-armnl,place-boyls,route,180
place-armnl,place-coecl,route,60
place-armnl,place-coecl,route,120
place-asmnl,place-cedgr,route,60
place-asmnl,place-smmnl,route,60
place-asmnl,place-smmnl,route,120
place-astao,place-sull,route,120
place-astao,place-sull,route,180
place-astao,place-welln,route,120
place-babck,place-brico,route,60
place-babck,place-brico,route,120
place-babck,place-plsgr,route,0
place-babck,place-plsgr,route,60
place-babck,place-plsgr,route,120
place-bbsta,place-masta,route,120
place-bbsta,place-masta,route,180
place-bbsta,place-tumnl,route,60
place-bbsta,place-tumnl,route,120
place-bbsta,place-tumnl,route,180
place-bckhl,place-hsmnl,route,60
place-bckhl,place-hsmnl,route,120
place-bckhl,place-rvrwy,route,60
place-bckhl,place-rvrwy,route,120
place-bcnfd,place-brkhl,route,60
place-bcnfd,place-brkhl,route,120
place-bcnfd,place-brkhl,route,180
place-bcnfd,place-rsmnl,route,120
place-bcnwa,place-fbkst,route,60
place-bcnwa,place-fbkst,route,120
place-bcnwa,place-tapst,route,0
place-bcnwa,place-tapst,route,60
place-bcnwa,place-tapst,route,120
place-bland,place-buest,route,60
place-bland,place-buest,route,120
place-bland,place-kencl,route,60
place-bland,place-kencl,route,120
place-bland,place-kencl,route,300
place-bland,place-kencl,route,360
place-bmmnl,place-rbmnl,route,60
place-bmmnl,place-rbmnl,route,120
place-bmmnl,place-sdmnl,route,120
