1166824,14,FFFFFF
1166825,14,FFFFFF
1166826,14,FFFFFF
1166827,14,FFFFFF
1166828,14,FFFFFF
1166829,14,FFFFFF
1166830,14,FFFFFF
1166831,14,FFFFFF
1166832,14,FFFFFF
1166833,14,FFFFFF
1166834,14,FFFFFF
1166835,14,FFFFFF
1166838,14,FFFFFF
1166839,14,FFFFFF
1166840,14,FFFFFF
1166841,14,FFFFFF
140078,13,FFFFFF
140079,13,FFFFFF
1629,2,FFFFFF
1630,3,FFFFFF
1632,12,FFFFFF
1633,9,FFFFFF
1634,3,FFFFFF
1635,7B,FFFFFF
1637,9,FFFFFF
1638,13,FFFFFF
1639,7,FFFFFF
1640,6,FFFFFF
1641,5,FFFFFF
1642,1,FFFFFF
1644,6,FFFFFF
1645,4,FFFFFF
1646,12,FFFFFF
1647,9,FFFFFF
1648,7,FFFFFF
1649,7,FFFFFF
1651,9,FFFFFF
1653,10,FFFFFF
1655,4,FFFFFF
1656,13,FFFFFF
1657,6,FFFFFF
1659,3B,FFFFFF
1661,10,FFFFFF
1662,3,FFFFFF
1662795,13,FFFFFF
1662796,13,FFFFFF
1662797,13,FFFFFF
1662798,13,FFFFFF
1665,6,FFFFFF
1666,10,FFFFFF
1667,12,FFFFFF
1668,4,FFFFFF
1669,12,FFFFFF
1674,2,FFFFFF
1675,5,FFFFFF
1676,7,FFFFFF
1677,4,FFFFFF
1678,9,FFFFFF
1681,7,FFFFFF
1682,11,FFFFFF
1683,3,FFFFFF
1684,2,FFFFFF
1685,7,FFFFFF
1686,12,FFFFFF
1687,6,FFFFFF
1688,1,FFFFFF
1690,10,FFFFFF
1691,12,FFFFFF
1692,4,FFFFFF
1692060,13,FFFFFF
1692061,13,FFFFFF
1694,2,FFFFFF
1695,7,FFFFFF
1696,7,FFFFFF
1698,1,FFFFFF
1700,5,FFFFFF
1702,9,FFFFFF
1703,7,FFFFFF
1704,9,FFFFFF
1707,2,FFFFFF
1708,9,FFFFFF
1709,9,FFFFFF
1710,12,FFFFFF
1712,9,FFFFFF
1714,9,FFFFFF
1715,9,FFFFFF
1716,13,FFFFFF
1717,13,FFFFFF
1718,3B,FFFFFF
1719,13,FFFFFF
1720,12,FFFFFF
1721,4,FFFFFF
1722,3,FFFFFF
1723,12,FFFFFF
1724,13,FFFFFF
1725,1,FFFFFF
