10142,21110,route,180
10142,7686,route,180
10344,308,route,60
10344,7474,route,120
10352,13995,route,360
10352,14816,route,360
10776,9880,route,120
11332,12488,route,180
11332,12926,route,120
11332,8040,route,180
11602,11610,route,240
11602,14118,route,240
11610,11602,route,240
11731,11733,route,180
11733,11731,route,180
11733,3034,route,180
11886,3034,route,180
11886,5305,route,180
12282,12631,route,240
12282,14118,route,180
12282,39924,route,420
12488,11332,route,180
12488,12648,route,120
12631,12282,route,240
12631,12922,route,120
12648,12488,route,120
12648,12922,route,60
12872,12874,route,120
12872,4567,route,120
12874,12872,route,120
12874,7474,route,120
12900,6479,route,120
12900,7333,route,120
12906,5017,route,120
12906,7671,route,120
12922,12631,route,120
12922,12648,route,60
12926,11332,route,120
12926,12928,route,180
12928,12926,route,180
12928,12930,route,60
12928,5017,route,300
12928,5017,route,360
12930,12928,route,60
12930,12928,route,120
12930,9720,route,120
1305,13107,route,120
1305,13107,route,180
1305,4613,route,180
13107,1305,route,120
13107,1305,route,180
13107,4664,route,180
13107,4664,route,240
13986,13995,route,120
13986,9838,route,300
13995,10352,route,360
13995,10352,route,420
13995,13986,route,120
13995,9880,route,120
14118,11602,route,240
14118,12282,route,180
1418,25552,route,120
1418,308,route,120
14816,10352,route,360
16051,4271,route,180
20078,21029,route,180
20078,6963,route,180
21029,20078,route,180
21029,4271,route,180
21110,10142,route,180
2124,2658,route,180
2124,999,route,180
22094,3542,route,180
22094,3969,route,180
25426,5030,route,120
25426,5110,route,240
25552,1418,route,120
25552,25553,route,180
25553,25552,route,180
25553,5305,route,240
2640,3542,route,180
2640,4387,route,180
2658,2124,route,180
3034,11733,route,180
3034,11886,route,180
308,10344,route,60
308,1418,route,120
3542,22094,route,180
3542,2640,route,180
3969,22094,route,180
3969,7993,route,180
39924,12282,route,420
39924,39925,route,120
39925,39924,route,120
39925,39926,route,120
39926,39925,route,120
39926,39927,route,120
39927,39926,route,120
39927,39928,route,420
39928,39927,route,420
4271,16051,route,180
4271,21029,route,180
4364,4387,route,180
4364,5660,route,120
4387,2640,route,180
4387,4364,route,180
4567,12872,route,120
4567,6671,route,120
4613,1305,route,180
4613,1305,route,240
4613,5110,route,240
4655,6751,route,180
4655,7681,route,120
4664,13107,route,180
4664,4697,route,180
4664,4697,route,240
4697,4664,route,180
4710,5305,route,180
4710,6671,route,180
4905,4912,route,120
4905,4956,route,120
4912,4905,route,120
4912,4941,route,120
4941,4912,route,120
4941,5660,route,180
4956,4905,route,120
4956,5635,route,180
5017,12906,route,120
5017,12928,route,300
5017,7333,route,120
5017,7376,route,120
5017,7477,route,120
5030,25426,route,120
5030,999,route,180
5110,25426,route,240
5110,4613,route,240
5110,4613,route,300
5110,6553,route,120
5305,11886,route,180
5305,25553,route,240
5305,4710,route,180
5305,6963,route,180
5635,4956,route,180
5635,7588,route,180
5635,7588,route,300
5660,4364,route,120
5660,4941,route,180
5759,6751,route,180
5759,7376,route,120
6479,12900,route,120
6479,6553,route,120
6553,5110,route,120
6553,6479,route,120
6671,4567,route,120
6671,4710,route,180
6751,4655,route,180
6751,5759,route,180
6963,20078,route,180
6963,5305,route,180
7333,12900,route,120
7333,5017,route,120
7376,5017,route,120
7376,5759,route,120
7474,10344,route,120
7474,12874,route,120
7474,7477,route,120
7474,7588,route,120
7474,7588,route,240
7477,5017,route,120
7477,7474,route,120
7588,5635,route,180
7588,7474,route,120
7588,7671,route,60
7588,7812,route,120
7671,12906,route,120
7671,7588,route,60
7671,7588,route,180
7681,4655,route,120
7681,7686,route,180
7686,10142,route,180
7686,7681,route,180
7812,7588,route,120
7812,7588,route,240
7812,7932,route,120
7932,7812,route,120
7932,8040,route,120
7993,3969,route,180
7993,9360,route,240
8040,11332,route,180
8040,7932,route,120
9360,7993,route,240
9720,12930,route,120
9720,9838,route,120
9838,13986,route,300
9838,9720,route,120
9880,10776,route,120
9880,13995,route,120
999,2124,route,180
999,5030,route,120
999,5030,route,180
4387,20078,route,444
20078,11733,route,804
11733,2658,route,600
